Timestamp,Asal daerah Ibu/Bunda ,Seberapa sering Ibu/Bunda membeli kerudung baru? ,Biasanya Ibu/Bunda membeli kerudung di mana? ,"Saat membeli kerudung, hal apa yang paling penting bagi Ibu/Bunda?",Masalah apa yang paling sering Ibu/Bunda rasakan saat memakai kerudung? ,Apakah Ibu/Bunda pernah merasa kurang nyaman karena kerudung terasa bau atau tidak segar? ,"Jika ada kerudung dengan aroma wangi lembut dan segar, apakah Ibu/Bunda tertarik? ","Menurut Ibu/Bunda, manfaat utama kerudung wangi adalah apa? ",Aroma seperti apa yang paling Ibu/Bunda sukai untuk kerudung? ,Kekhawatiran terbesar Ibu/Bunda terhadap kerudung wangi adalah apa? ,Biasanya Ibu/Bunda membeli kerudung dengan harga berapa? ,"Jika kerudung wangi dijual dengan kualitas bahan yang nyaman, berapa harga yang masih cocok menurut Ibu/Bunda? ","Jika produk ini tersedia, seberapa besar kemungkinan Ibu/Bunda ingin mencoba membelinya? "
26/04/2026 21:56:45,Jawa Barat,4–6 bulan sekali,"Toko kerudung / toko baju muslim, Online shop, Shopee / Tokopedia / TikTok Shop, Lewat teman / reseller / WhatsApp","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar","Terasa gerah / panas, Kerudung terasa bau setelah dipakai lama, Kerudung mudah kusut, Susah dibentuk",Sering,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Sangat mungkin
26/04/2026 22:03:00,Jawa Barat,Hanya saat perlu saja,"Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar","Kerudung mudah lepek, Susah dibentuk",Kadang-kadang,Tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 22:10:43,DKI Jakarta,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar","Kerudung terasa bau setelah dipakai lama, Susah dibentuk",Jarang,Sangat tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Aroma sabun bersih,Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 22:24:24,Jawa Barat,Hanya saat perlu saja,Online shop,"Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar","Terasa gerah / panas, Kerudung terasa bau setelah dipakai lama, Kerudung mudah kusut, Susah dibentuk",Sering,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut harganya mahal,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 22:35:43,DKI Jakarta,Hanya saat perlu saja,Toko kerudung / toko baju muslim,"Bahan adem dan nyaman, Warna / model bagus","Kerudung mudah kusut, Susah dibentuk",Tidak pernah,Tidak tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Aroma bunga lembut,Takut wanginya terlalu menyengat,Di atas Rp300.000,Rp200.000 – Rp300.000,Mungkin
26/04/2026 22:40:28,Jawa Barat,Hanya saat perlu saja,Shopee / Tokopedia / TikTok Shop,"Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar","Terasa gerah / panas, Tidak ada masalah",Kadang-kadang,Tertarik,Membuat kerudung terasa lebih segar,Aroma herbal / natural,Takut membuat gatal,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 22:42:16,Jawa Barat,Hanya saat perlu saja,Shopee / Tokopedia / TikTok Shop,"Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut","Terasa gerah / panas, Kerudung terasa bau setelah dipakai lama, Kerudung mudah lepek, Kerudung mudah kusut, Susah dibentuk",Tidak pernah,Biasa saja,Tidak merasa ada manfaat khusus,Tidak suka kerudung beraroma,Takut membuat pusing,Rp200.000 – Rp300.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 22:47:31,Aceh,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar",Tidak ada masalah,Kadang-kadang,Sangat tertarik,Membuat lebih percaya diri,Aroma buah segar,Takut harganya mahal,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Sangat mungkin
26/04/2026 23:10:22,Jawa Barat,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar","Terasa gerah / panas, Kerudung terasa bau setelah dipakai lama, Kerudung mudah lepek, Kerudung mudah kusut, Susah dibentuk",Sering,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Sangat mungkin
26/04/2026 23:47:06,Aceh,2–3 bulan sekali,Toko kerudung / toko baju muslim,"Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Wangi / terasa segar",Kerudung mudah kusut,Jarang,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut wanginya cepat hilang,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Sangat mungkin
27/04/2026 0:29:23,Jawa Barat,Sebulan sekali,Toko kerudung / toko baju muslim,Warna / model bagus,Tidak ada masalah,Tidak pernah,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Sangat mungkin
27/04/2026 1:10:49,Jawa Barat,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Online shop, Lewat teman / reseller / WhatsApp","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Tidak mudah kusut","Terasa gerah / panas, Kerudung mudah lepek, Susah dibentuk",Jarang,Tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 1:31:36,Jawa Barat,Hanya saat perlu saja,Toko kerudung / toko baju muslim,Bahan adem dan nyaman,Susah dibentuk,Kadang-kadang,Sangat tertarik,Membuat lebih percaya diri,Aroma buah segar,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 5:02:23,Jawa Barat,Hanya saat perlu saja,Lewat teman / reseller / WhatsApp,Bahan adem dan nyaman,Susah dibentuk,Kadang-kadang,Tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut wanginya cepat hilang,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 5:22:54,Jawa Barat,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Online shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk",Susah dibentuk,Jarang,Tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Aroma bunga lembut,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 5:24:56,Jawa Barat,Hanya saat perlu saja,"Online shop, Lewat teman / reseller / WhatsApp","Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk",Susah dibentuk,Tidak pernah,Tertarik,Membuat kerudung terasa lebih segar,Aroma buah segar,Tidak ada kekhawatiran,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 6:20:45,Banten,Hanya saat perlu saja,"Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut","Terasa gerah / panas, Susah dibentuk",Jarang,Biasa saja,Tidak merasa ada manfaat khusus,Aroma bunga lembut,Takut wanginya cepat hilang,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 7:05:15,Banten,4–6 bulan sekali,Online shop,Bahan adem dan nyaman,Susah dibentuk,Jarang,Tertarik,Membuat kerudung terasa lebih segar,Aroma herbal / natural,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Sangat mungkin
27/04/2026 7:16:22,Jawa Barat,2–3 bulan sekali,Online shop,Bahan adem dan nyaman,Terasa gerah / panas,Kadang-kadang,Sangat tertarik,Membuat kerudung terasa lebih segar,Aroma bedak bayi,Takut membuat gatal,Rp100.000 – Rp200.000,Di atas Rp300.000,Sangat mungkin
27/04/2026 8:09:42,Jawa Barat,2–3 bulan sekali,Online shop,Bahan adem dan nyaman,Tidak ada masalah,Jarang,Biasa saja,Tidak merasa ada manfaat khusus,Tidak suka kerudung beraroma,Takut wanginya terlalu menyengat,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Kurang mungkin
27/04/2026 8:46:53,Jawa Barat,Hanya saat perlu saja,Toko kerudung / toko baju muslim,Bahan adem dan nyaman,Terasa gerah / panas,Sering,Tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp100.000 – Rp200.000,Rp200.000 – Rp300.000,Mungkin
27/04/2026 9:17:35,DKI Jakarta,Hanya saat perlu saja,Online shop,"Harga terjangkau, Bahan adem dan nyaman, Tidak mudah kusut",Kerudung mudah kusut,Tidak pernah,Tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Aroma bunga lembut,Tidak ada kekhawatiran,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 10:09:20,Jawa Barat,4–6 bulan sekali,Toko kerudung / toko baju muslim,Bahan adem dan nyaman,Terasa gerah / panas,Kadang-kadang,Biasa saja,Cocok dipakai untuk acara tertentu,Aroma herbal / natural,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 10:18:40,Jawa Barat,Hanya saat perlu saja,Toko kerudung / toko baju muslim,Bahan adem dan nyaman,Tidak ada masalah,Tidak pernah,Tertarik,Membuat kerudung terasa lebih segar,Aroma herbal / natural,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 10:23:38,Jawa Barat,Hanya saat perlu saja,Lewat teman / reseller / WhatsApp,Bahan adem dan nyaman,Kerudung mudah lepek,Tidak pernah,Sangat tertarik,Membuat lebih percaya diri,Aroma herbal / natural,Takut wanginya terlalu menyengat,Rp100.000 – Rp200.000,Rp200.000 – Rp300.000,Mungkin
27/04/2026 10:29:27,Jawa Barat,Hanya saat perlu saja,Shopee / Tokopedia / TikTok Shop,Bahan adem dan nyaman,Susah dibentuk,Jarang,Tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 11:15:02,Jawa Barat,4–6 bulan sekali,Toko kerudung / toko baju muslim,Bahan adem dan nyaman,Tidak ada masalah,Jarang,Biasa saja,Membuat kerudung terasa lebih segar,Aroma buah segar,Takut membuat pusing,Rp100.000 – Rp200.000,Rp200.000 – Rp300.000,Mungkin
27/04/2026 12:19:00,Sumatera Barat,Hanya saat perlu saja,Toko kerudung / toko baju muslim,Warna / model bagus,Tidak ada masalah,Tidak pernah,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut membuat pusing,Rp200.000 – Rp300.000,Rp100.000 – Rp200.000,Sangat mungkin
27/04/2026 14:49:46,Jawa Barat,Hanya saat perlu saja,"Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Tidak mudah kusut","Kerudung mudah lepek, Kerudung mudah kusut",Kadang-kadang,Tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Aroma sabun bersih,Takut harganya mahal,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 14:53:12,DKI Jakarta,2–3 bulan sekali,Shopee / Tokopedia / TikTok Shop,"Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk",Susah dibentuk,Jarang,Tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 14:53:20,Jawa Barat,Hanya saat perlu saja,Toko kerudung / toko baju muslim,"Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut","Terasa gerah / panas, Kerudung terasa bau setelah dipakai lama, Kerudung mudah lepek, Kerudung mudah kusut, Susah dibentuk",Kadang-kadang,Tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 15:27:45,Jawa Barat,4–6 bulan sekali,"Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Mudah dibentuk",Terasa gerah / panas,Jarang,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Ragu-ragu
27/04/2026 15:30:36,Jawa Barat,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut",Tidak ada masalah,Tidak pernah,Biasa saja,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut membuat pusing,Rp200.000 – Rp300.000,Rp200.000 – Rp300.000,Mungkin
27/04/2026 15:31:06,Jawa Barat,4–6 bulan sekali,"Toko kerudung / toko baju muslim, Shopee / Tokopedia / TikTok Shop, Lewat teman / reseller / WhatsApp","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar","Terasa gerah / panas, Kerudung terasa bau setelah dipakai lama, Kerudung mudah lepek, Kerudung mudah kusut, Susah dibentuk",Sering,Sangat tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Aroma buah segar,Takut harganya mahal,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Sangat mungkin
27/04/2026 15:50:27,Jawa Barat,4–6 bulan sekali,Lewat teman / reseller / WhatsApp,Harga terjangkau,Susah dibentuk,Kadang-kadang,Biasa saja,Membantu mengurangi rasa bau setelah dipakai lama,"Aroma yg tidak terlalu menyengat, ringan wanginya",Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 15:51:17,Sulawesi Barat,Sebulan sekali,Online shop,Bahan adem dan nyaman,Tidak ada masalah,Sering,Sangat tertarik,Membuat lebih percaya diri,Aroma bedak bayi,Takut membuat pusing,Rp200.000 – Rp300.000,Rp200.000 – Rp300.000,Sangat mungkin
27/04/2026 15:52:32,Jawa Barat,Hanya saat perlu saja,Toko kerudung / toko baju muslim,Bahan adem dan nyaman,Kerudung mudah kusut,Kadang-kadang,Tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut wanginya cepat hilang,Rp200.000 – Rp300.000,Rp200.000 – Rp300.000,Mungkin
27/04/2026 15:56:43,Jawa Barat,Hanya saat perlu saja,"Online shop, Shopee / Tokopedia / TikTok Shop",Bahan adem dan nyaman,Tidak ada masalah,Sering,Tertarik,Membuat lebih percaya diri,Aroma herbal / natural,Tidak ada kekhawatiran,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 15:58:06,Jawa Barat,4–6 bulan sekali,Online shop,Bahan adem dan nyaman,Kerudung terasa bau setelah dipakai lama,Sering,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 16:02:24,Sulawesi Selatan,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Shopee / Tokopedia / TikTok Shop","Bahan adem dan nyaman, Mudah dibentuk, Tidak mudah kusut","Kerudung mudah lepek, Susah dibentuk",Kadang-kadang,Biasa saja,Membuat lebih percaya diri,Tidak suka kerudung beraroma,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,
27/04/2026 16:19:09,Jawa Barat,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Online shop, Shopee / Tokopedia / TikTok Shop, Lewat teman / reseller / WhatsApp","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut",Tidak ada masalah,Jarang,Tertarik,Membuat kerudung terasa lebih segar,Udara segar,Takut wanginya terlalu menyengat,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 16:26:21,Jawa Tengah,Sebulan sekali,"Toko kerudung / toko baju muslim, Lewat teman / reseller / WhatsApp","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Tidak mudah kusut",Tidak ada masalah,Jarang,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 16:30:02,Jawa Barat,Hanya saat perlu saja,Lewat teman / reseller / WhatsApp,Wangi / terasa segar,Susah dibentuk,Tidak pernah,Sangat tertarik,Membuat kerudung terasa lebih segar,Aroma buah segar,Tidak ada kekhawatiran,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 16:39:20,Jawa Barat,Hanya saat perlu saja,Online shop,Bahan adem dan nyaman,Tidak ada masalah,Jarang,Biasa saja,Membuat kerudung terasa lebih segar,Aroma bedak bayi,Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 16:43:22,Jawa Barat,2–3 bulan sekali,Online shop,Bahan adem dan nyaman,Kerudung terasa bau setelah dipakai lama,Kadang-kadang,Sangat tertarik,Membuat kerudung terasa lebih segar,Aroma sabun bersih,Takut membuat pusing,Rp100.000 – Rp200.000,Rp200.000 – Rp300.000,Mungkin
27/04/2026 16:47:19,Jawa Barat,Hanya saat perlu saja,Lewat teman / reseller / WhatsApp,Bahan adem dan nyaman,Susah dibentuk,Jarang,Sangat tertarik,Membuat lebih percaya diri,Aroma buah segar,Takut wanginya cepat hilang,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Sangat mungkin
27/04/2026 17:02:38,Jawa Barat,4–6 bulan sekali,"Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman",Tidak ada masalah,Tidak pernah,Biasa saja,Membantu mengurangi rasa bau setelah dipakai lama,Aroma bunga lembut,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 17:04:56,Jawa Barat,Hanya saat perlu saja,Toko kerudung / toko baju muslim,"Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar",Kerudung terasa bau setelah dipakai lama,Jarang,Biasa saja,Membantu mengurangi rasa bau setelah dipakai lama,Aroma buah segar,Takut harganya mahal,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Kurang mungkin
27/04/2026 17:28:22,Jawa Barat,Hanya saat perlu saja,Shopee / Tokopedia / TikTok Shop,Harga terjangkau,Susah dibentuk,Tidak pernah,Sangat tertarik,Membuat lebih percaya diri,Tidak suka kerudung beraroma,Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Sangat mungkin
27/04/2026 17:28:49,Jawa Barat,Hanya saat perlu saja,"Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus","Terasa gerah / panas, Susah dibentuk",Kadang-kadang,Tertarik,Membuat kerudung terasa lebih segar,Aroma buah segar,Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 17:32:39,Jawa Timur,2–3 bulan sekali,Shopee / Tokopedia / TikTok Shop,Bahan adem dan nyaman,Tidak ada masalah,Jarang,Tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut membuat pusing,Rp50.000 – Rp100.000,Rp200.000 – Rp300.000,Mungkin
27/04/2026 17:35:05,Jawa Barat,4–6 bulan sekali,"Toko kerudung / toko baju muslim, Online shop, Shopee / Tokopedia / TikTok Shop","Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk","Terasa gerah / panas, Kerudung terasa bau setelah dipakai lama, Kerudung mudah lepek, Kerudung mudah kusut, Susah dibentuk",Kadang-kadang,Tertarik,Membuat lebih percaya diri,Aroma bedak bayi,Takut wanginya cepat hilang,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 17:55:58,Jawa Barat,Hanya saat perlu saja,Lewat teman / reseller / WhatsApp,Bahan adem dan nyaman,Tidak ada masalah,Jarang,Tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 18:44:14,Jawa Barat,Hanya saat perlu saja,Toko kerudung / toko baju muslim,Bahan adem dan nyaman,Kerudung terasa bau setelah dipakai lama,Kadang-kadang,Tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 19:06:26,Jawa Barat,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Online shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Tidak mudah kusut","Terasa gerah / panas, Kerudung mudah kusut, Tidak ada masalah",Jarang,Tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 19:07:23,Jawa Barat,2–3 bulan sekali,"Toko kerudung / toko baju muslim, Online shop, Shopee / Tokopedia / TikTok Shop, Lewat teman / reseller / WhatsApp","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut","Terasa gerah / panas, Kerudung terasa bau setelah dipakai lama, Kerudung mudah lepek, Kerudung mudah kusut, Susah dibentuk",Sering,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 19:08:50,Jawa Barat,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut","Terasa gerah / panas, Susah dibentuk",Kadang-kadang,Biasa saja,Membantu mengurangi rasa bau setelah dipakai lama,Aroma bedak bayi,Takut wanginya terlalu menyengat,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 19:34:35,Banten,4–6 bulan sekali,"Online shop, Shopee / Tokopedia / TikTok Shop","Bahan adem dan nyaman, Warna / model bagus","Kerudung terasa bau setelah dipakai lama, Kerudung mudah kusut, Susah dibentuk",Kadang-kadang,Sangat tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp100.000 – Rp200.000,Rp200.000 – Rp300.000,Sangat mungkin
27/04/2026 19:44:38,Jawa Timur,4–6 bulan sekali,Shopee / Tokopedia / TikTok Shop,"Harga terjangkau, Bahan adem dan nyaman, Mudah dibentuk, Tidak mudah kusut","Terasa gerah / panas, Kerudung mudah kusut, Susah dibentuk",Jarang,Tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 19:55:12,Kalimantan Timur,2–3 bulan sekali,"Toko kerudung / toko baju muslim, Lewat teman / reseller / WhatsApp","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus","Kerudung mudah lepek, Kerudung mudah kusut, Susah dibentuk",Jarang,Tertarik,Membuat kerudung terasa lebih segar,Aroma buah segar,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 20:21:12,Jawa Barat,Hanya saat perlu saja,"Shopee / Tokopedia / TikTok Shop, Lewat teman / reseller / WhatsApp","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus",Tidak ada masalah,Jarang,Biasa saja,Membuat lebih percaya diri,Aroma bunga lembut,Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 22:43:31,Jawa Barat,4–6 bulan sekali,Shopee / Tokopedia / TikTok Shop,Bahan adem dan nyaman,Terasa gerah / panas,Tidak pernah,Tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut wanginya cepat hilang,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
27/04/2026 22:47:27,Jawa Barat,2–3 bulan sekali,"Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar",Susah dibentuk,Jarang,Sangat tertarik,Membuat lebih percaya diri,Aroma sabun bersih,Takut harganya mahal,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
28/04/2026 10:12:57,Banten,2–3 bulan sekali,Shopee / Tokopedia / TikTok Shop,Bahan adem dan nyaman,"Kerudung mudah lepek, Susah dibentuk",Jarang,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
28/04/2026 13:55:48,Sulawesi Barat,Setahun sekali,Toko kerudung / toko baju muslim,Bahan adem dan nyaman,Terasa gerah / panas,Sering,Biasa saja,Membantu mengurangi rasa bau setelah dipakai lama,Aroma herbal / natural,Takut membuat pusing,Rp100.000 – Rp200.000,Rp200.000 – Rp300.000,Mungkin
29/04/2026 5:41:23,Jawa Barat,Hanya saat perlu saja,Shopee / Tokopedia / TikTok Shop,Bahan adem dan nyaman,Susah dibentuk,Kadang-kadang,Biasa saja,Membantu mengurangi rasa bau setelah dipakai lama,Tidak suka kerudung beraroma,Takut membuat gatal,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,
29/04/2026 18:07:05,Banten,2–3 bulan sekali,"Toko kerudung / toko baju muslim, Online shop, Shopee / Tokopedia / TikTok Shop, Lewat teman / reseller / WhatsApp","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Wangi / terasa segar","Terasa gerah / panas, Kerudung mudah lepek, Kerudung mudah kusut, Susah dibentuk",Kadang-kadang,Sangat tertarik,Membuat lebih percaya diri,Aroma herbal / natural,Takut wanginya cepat hilang,Rp100.000 – Rp200.000,Rp200.000 – Rp300.000,Sangat mungkin
30/04/2026 14:07:43,DKI Jakarta,Sebulan sekali,Shopee / Tokopedia / TikTok Shop,"Bahan adem dan nyaman, Warna / model bagus, Tidak mudah kusut, Wangi / terasa segar",Tidak ada masalah,Jarang,Tertarik,Membuat lebih percaya diri,Aroma bedak bayi,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
